  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398705680,  110914350,          0, 0xD, 32
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398708496,  110914350,          0,     19, "\_SB.PC00.TDM0._DSW", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398708590,      30345,          0,     19, "\_SB.PC00.TXHC._DSW", "finished ",                3
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398708679,      30345,          0,     19, "\_SB.PC00.HDAS._DSW", "finished ",                2
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                   10,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398710554,      48495,          0,     19, "\_SB.PC00.TXHC._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398717024,      30360,          0,     19, "\_SB.PC00.TDM0._DSW", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000248,                    8,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398717109,       1140,          0,     19, "\_SB.PC00.TRP0._DSW", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398721135,      30360,          0,     18, "\_SB.PC00.PAUD._ON", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398721156,      30360,          0,     17, "\_SB.PC00.D3C._ON", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398721172,      30360,          0,     19, "\_SB.PC00.TXHC._STA", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398721427,      30360,          0,     18, "\_SB.PC00.PAUD._ON", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398722637,  110914350,          0, 0x5, 128
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398724001,  110914350,          0, 0xD, 32
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398725181,  110914350,          0, 0x5, 128
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398726543,  110914350,          0, 0xD, 32
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398729833,  110914350,          0,     19, "\_SB.PC00.XHCI._DSW", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398755746,      30360,          0,     19, "\_SB.PC00.TRP0._DSW", "finished ",                3
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398755788,      30360,          0,     19, "\_SB.PC00.XHCI._DSW", "finished ",                2
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398764282,      30360,          0,     19, "\_SB.PC00.TXHC._PS0", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398764297,      30360,          0,     19, "\_SB.PC00.HDAS._PS0", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398764448,      30360,          0,     17, "\_SB.PC00.D3C._ON", "finished ",                4
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000014,                    8,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398766283,      62670,          0,     19, "\_SB.PC00.XHCI._PS0", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000014,                    8,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398766386,      62670,          0,     19, "\_SB.PC00.TDM0._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398770035,      30360,          0,     19, "\_SB.PC00.TXHC._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398770047,      30360,          0,     19, "\_SB.PC00.TXHC._PS0", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398770172,      30360,          0,     19, "\_SB.PC00.HDAS._PS0", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398771796,      30360,          0,     19, "\_SB.PC00.XHCI._ADR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398773600,      30360,          0,     17, "\_SB.PC00.D3C._ON", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398773615,      30360,          0,     19, "\_SB.PC00.TDM0._STA", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398775345,      30360,          0,     19, "\_SB.PC00.TXHC._STA", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398778515,      30360,          0,     19, "\_SB.PC00.XHCI._ADR", "finished ",                0
