  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    9,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654518297,      18330,          0,     24, "\_SB.PC00.LPCB.BAT0._BIF", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    9,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654518372,      18330,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    9,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654519808,      18330,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    9,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654519860,      18330,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    9,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654521613,      18330,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654521914,      18330,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654523393,      18330,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654523455,      18330,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654525007,      18330,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027664521490,       9255,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027664523238,       9255,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027664523318,       9255,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027664525253,       9255,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000016C0,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027805729448,      10050,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000016C0,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027805731327,      10050,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000016C0,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027805731508,      10050,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000016C0,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027805733452,      10050,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027904673858,       7155,          0,     19, "\_SB.PC00.GFX0._PS0", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027904674133,        450,          0,     19, "\_SB.PC00.GFX0._PS0", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027904780412,       7155,          0,     19, "\_SB.PC00.GFX0._DOS", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027904781220,       7155,          0,     19, "\_SB.PC00.GFX0._DOS", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000014,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027920154137,       5985,          0,     19, "\_SB.PC00.GFX0._PS3", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027920154309,        450,          0,     19, "\_SB.PC00.GFX0._PS3", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028009313526,       8670,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028009315148,       8670,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028009315215,       8670,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x000054BC,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028009317004,       8670,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028048493318,   13684515,          0,     10, "\_GPE._L02", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028048501850,       9510,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028048507363,        450,          0,     10, "\_GPE._L02", "finished ",                2
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028048507532,        450,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028048507671,       9510,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028048507880,       9510,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00005138,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024028048507978,       9510,          0,     24, "\_SB.PC00.LPCB.BAT0._BIF", "started ",                0
